Migration between Germany and foreign countries: years,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union states, sex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"European Union states
Sex
Arrivals from foreign countries
Departures to foreign countries";;;Unit;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
;;Departures to foreign countries;number;347;360;415;544;697;1001;1238;1429;1023;891;874;799;881;1092;971;1292;1258;2282;2036;1870;2279;2358;3002;2580;2126;1885;1579;1410;1338;1201;1251;1019;1134;1219;1305;1232;922;905;928;1018;1129
;Total;Arrivals from foreign countries;number;970;814;1221;1714;1923;2926;4296;3332;2448;1713;2015;2152;2616;3369;3432;4618;3878;5837;6605;5335;5195;5961;6032;4130;3299;3075;2725;2705;2230;2046;1655;1551;1724;1862;2169;2366;2319;2794;2954;2776;2919
;;Departures to foreign countries;number;805;739;933;1282;1466;2155;2921;3341;2364;1940;1885;1770;1785;2491;2001;2812;2569;5084;4300;4401;5237;5432;6953;5561;4337;3584;3059;2795;2634;2415;2489;2041;2330;2538;2729;2535;2011;1872;1887;2075;2354
Italy;Male;Arrivals from foreign countries;number;57325;32977;45857;54699;57123;61700;58705;42484;26682;23527;24518;25702;30413;29769;27644;27329;25100;24016;20856;22049;27501;35716;34445;26937;23882;23319;22003;19509;16499;14166;12693;12031;11886;12248;13362;14901;16718;20001;27696;37371;44640
;;Departures to foreign countries;number;84794;68178;54559;50086;49883;50100;53375;54173;51680;44068;38599;32393;27038;25786;24342;25547;22912;24839;22308;20697;22629;24652;27395;27143;25917;24554;22894;22374;22368;20170;21468;16719;15573;14890;16588;16857;14596;14009;14375;17536;22953
;Female;Arrivals from foreign countries;number;30737;20158;23322;28176;28574;30176;30160;25083;17152;14964;15720;16246;18830;18236;16905;15732;14579;14356;12932;13224;15030;17402;16660;14620;13778;13893;13382;12069;10383;9536;8729;8237;8244;8523;9087;10025;10470;12869;17398;23280;28721
;;Departures to foreign countries;number;38094;38692;32833;27885;26762;26556;26717;29484;33216;31168;26348;22225;17719;16665;15696;16042;14092;14368;13854;13437;13318;13117;13424;13615;13950;13813;13813;13730;14167;13632;14805;11860;11234;10523;11731;11569;9672;9155;9003;10367;13351
;Total;Arrivals from foreign countries;number;88062;53135;69179;82875;85697;91876;88865;67567;43834;38491;40238;41948;49243;48005;44549;43061;39679;38372;33788;35273;42531;53118;51105;41557;37660;37212;35385;31578;26882;23702;21422;20268;20130;20771;22449;24926;27188;32870;45094;60651;73361
;;Departures to foreign countries;number;122888;106870;87392;77971;76645;76656;80092;83657;84896;75236;64947;54618;44757;42451;40038;41589;37004;39207;36162;34134;35947;37769;40819;40758;39867;38367;36707;36104;36535;33802;36273;28579;26807;25413;28319;28426;24268;23164;23378;27903;36304
Latvia;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;744;1077;3032;5095;6531;5751;5132;4516
